 0.0 16126.91
 1.0 16955.568
 2.0 17174.158
 3.0 16103.904
 4.0 17419.219
 5.0 16750.105
 6.0 16747.79
 7.0 17062.373
 8.0 17051.867
 9.0 16474.545
 10.0 16325.276
 11.0 16902.756
 12.0 16507.137
 13.0 16925.916
 14.0 16395.7
 15.0 16850.555
 16.0 16562.09
 17.0 16764.072
 18.0 16683.518
 19.0 16591.79
 20.0 16477.21
 21.0 17369.201
 22.0 16846.457
 23.0 16512.842
 24.0 16333.678
 25.0 16335.652
 26.0 16955.66
 27.0 17192.293
 28.0 16993.572
 29.0 16579.912
 30.0 16929.19
 31.0 16415.012
 32.0 16269.566
 33.0 16738.19
 34.0 16123.544
 35.0 16960.602
 36.0 16449.814
 37.0 16483.137
 38.0 16506.61
 39.0 16284.5
 40.0 16386.037
 41.0 17377.715
 42.0 16588.475
 43.0 16928.916
 44.0 16898.035
 45.0 16389.543
 46.0 16718.123
 47.0 16958.256
 48.0 16532.143
 49.0 16592.732
 50.0 17013.332
 51.0 17372.877
 52.0 17243.225
 53.0 16885.158
 54.0 16339.058
 55.0 16592.475
 56.0 16944.268
 57.0 16724.887
 58.0 17107.033
 59.0 17090.914
 60.0 16733.297
 61.0 16700.418
 62.0 16673.521
 63.0 16660.762
 64.0 16934.72
 65.0 16651.172
 66.0 16234.396
 67.0 16876.854
 68.0 16809.895
 69.0 16693.748
 70.0 16611.367
 71.0 16683.334
 72.0 16514.68
 73.0 17073.682
 74.0 16922.086
 75.0 17025.014
 76.0 16462.82
 77.0 16472.16
 78.0 16796.146
 79.0 16720.139
 80.0 16406.568
 81.0 16503.963
 82.0 16754.223
 83.0 17399.7
 84.0 16540.799
 85.0 17105.906
 86.0 16700.373
 87.0 16606.908
 88.0 16888.074
 89.0 16943.742
 90.0 16518.316
 91.0 16874.93
 92.0 16386.688
 93.0 16542.012
 94.0 16790.836
 95.0 16605.566
 96.0 16982.672
 97.0 16690.18
 98.0 17217.012
 99.0 16797.955
